"P_INDIV_GRP_CD","P_TY_CD","P_SPECL_CD","P_TXNMY_CD","L_HIBERNATE_VER_NUM","G_AUD_ADD_TS","G_AUD_ADD_USER_ID","G_AUD_TS","G_AUD_USER_ID"
"I","020","011","207R00000X",0,29-JUL-15 03.50.19.000000000 AM,"wf_ND_MC_P_TY_SPL_TXMY_XRFV8",29-JUL-15 03.50.19.000000000 AM,"wf_ND_MC_P_TY_SPL_TXMY_XRFV8"
"I","020","188","207RI0011X",0,29-JUL-15 03.50.19.000000000 AM,"wf_ND_MC_P_TY_SPL_TXMY_XRFV8",29-JUL-15 03.50.19.000000000 AM,"wf_ND_MC_P_TY_SPL_TXMY_XRFV8"
"I","020","375","209800000X",0,29-JUL-15 03.50.19.000000000 AM,"wf_ND_MC_P_TY_SPL_TXMY_XRFV8",29-JUL-15 03.50.19.000000000 AM,"wf_ND_MC_P_TY_SPL_TXMY_XRFV8"
"I","010","488","174400000X",0,29-JUL-15 03.50.19.000000000 AM,"wf_ND_MC_P_TY_SPL_TXMY_XRFV8",29-JUL-15 03.50.19.000000000 AM,"wf_ND_MC_P_TY_SPL_TXMY_XRFV8"
"I","010","074","103G00000X",0,29-JUL-15 03.50.19.000000000 AM,"wf_ND_MC_P_TY_SPL_TXMY_XRFV8",29-JUL-15 03.50.19.000000000 AM,"wf_ND_MC_P_TY_SPL_TXMY_XRFV8"
"I","010","152","101Y00000X",0,29-JUL-15 03.50.19.000000000 AM,"wf_ND_MC_P_TY_SPL_TXMY_XRFV8",29-JUL-15 03.50.19.000000000 AM,"wf_ND_MC_P_TY_SPL_TXMY_XRFV8"
"I","010","155","101YA0400X",0,29-JUL-15 03.50.19.000000000 AM,"wf_ND_MC_P_TY_SPL_TXMY_XRFV8",29-JUL-15 03.50.19.000000000 AM,"wf_ND_MC_P_TY_SPL_TXMY_XRFV8"
"I","010","177","101YP2500X",0,29-JUL-15 03.50.19.000000000 AM,"wf_ND_MC_P_TY_SPL_TXMY_XRFV8",29-JUL-15 03.50.19.000000000 AM,"wf_ND_MC_P_TY_SPL_TXMY_XRFV8"
"I","010","190","101YP2500X",0,29-JUL-15 03.50.19.000000000 AM,"wf_ND_MC_P_TY_SPL_TXMY_XRFV8",29-JUL-15 03.50.19.000000000 AM,"wf_ND_MC_P_TY_SPL_TXMY_XRFV8"
"I","010","194","101YP2500X",0,29-JUL-15 03.50.19.000000000 AM,"wf_ND_MC_P_TY_SPL_TXMY_XRFV8",29-JUL-15 03.50.19.000000000 AM,"wf_ND_MC_P_TY_SPL_TXMY_XRFV8"
"I","010","191","1041C0700X",0,29-JUL-15 03.50.19.000000000 AM,"wf_ND_MC_P_TY_SPL_TXMY_XRFV8",29-JUL-15 03.50.19.000000000 AM,"wf_ND_MC_P_TY_SPL_TXMY_XRFV8"
"I","010","492","247200000X",0,29-JUL-15 03.50.19.000000000 AM,"wf_ND_MC_P_TY_SPL_TXMY_XRFV8",29-JUL-15 03.50.19.000000000 AM,"wf_ND_MC_P_TY_SPL_TXMY_XRFV8"
"I","010","050","103T00000X",0,29-JUL-15 03.50.19.000000000 AM,"wf_ND_MC_P_TY_SPL_TXMY_XRFV8",29-JUL-15 03.50.19.000000000 AM,"wf_ND_MC_P_TY_SPL_TXMY_XRFV8"
"I","010","425","104100000X",0,29-JUL-15 03.50.19.000000000 AM,"wf_ND_MC_P_TY_SPL_TXMY_XRFV8",29-JUL-15 03.50.19.000000000 AM,"wf_ND_MC_P_TY_SPL_TXMY_XRFV8"
"I","011","047","111N00000X",0,29-JUL-15 03.50.19.000000000 AM,"wf_ND_MC_P_TY_SPL_TXMY_XRFV8",29-JUL-15 03.50.19.000000000 AM,"wf_ND_MC_P_TY_SPL_TXMY_XRFV8"
"I","012","498","1223D0001X",0,29-JUL-15 03.50.19.000000000 AM,"wf_ND_MC_P_TY_SPL_TXMY_XRFV8",29-JUL-15 03.50.19.000000000 AM,"wf_ND_MC_P_TY_SPL_TXMY_XRFV8"
"I","012","019","122300000X",0,29-JUL-15 03.50.19.000000000 AM,"wf_ND_MC_P_TY_SPL_TXMY_XRFV8",29-JUL-15 03.50.19.000000000 AM,"wf_ND_MC_P_TY_SPL_TXMY_XRFV8"
"I","012","062","1223E0200X",0,29-JUL-15 03.50.19.000000000 AM,"wf_ND_MC_P_TY_SPL_TXMY_XRFV8",29-JUL-15 03.50.19.000000000 AM,"wf_ND_MC_P_TY_SPL_TXMY_XRFV8"
"I","012","001","1223G0001X",0,29-JUL-15 03.50.19.000000000 AM,"wf_ND_MC_P_TY_SPL_TXMY_XRFV8",29-JUL-15 03.50.19.000000000 AM,"wf_ND_MC_P_TY_SPL_TXMY_XRFV8"
"I","012","212","1223S0112X",0,29-JUL-15 03.50.19.000000000 AM,"wf_ND_MC_P_TY_SPL_TXMY_XRFV8",29-JUL-15 03.50.19.000000000 AM,"wf_ND_MC_P_TY_SPL_TXMY_XRFV8"
"I","012","064","1223X0400X",0,29-JUL-15 03.50.19.000000000 AM,"wf_ND_MC_P_TY_SPL_TXMY_XRFV8",29-JUL-15 03.50.19.000000000 AM,"wf_ND_MC_P_TY_SPL_TXMY_XRFV8"
"I","012","063","1223P0221X",0,29-JUL-15 03.50.19.000000000 AM,"wf_ND_MC_P_TY_SPL_TXMY_XRFV8",29-JUL-15 03.50.19.000000000 AM,"wf_ND_MC_P_TY_SPL_TXMY_XRFV8"
"I","012","065","1223P0300X",0,29-JUL-15 03.50.19.000000000 AM,"wf_ND_MC_P_TY_SPL_TXMY_XRFV8",29-JUL-15 03.50.19.000000000 AM,"wf_ND_MC_P_TY_SPL_TXMY_XRFV8"
"I","012","066","1223P0700X",0,29-JUL-15 03.50.19.000000000 AM,"wf_ND_MC_P_TY_SPL_TXMY_XRFV8",29-JUL-15 03.50.19.000000000 AM,"wf_ND_MC_P_TY_SPL_TXMY_XRFV8"
"I","013","056","133V00000X",0,29-JUL-15 03.50.19.000000000 AM,"wf_ND_MC_P_TY_SPL_TXMY_XRFV8",29-JUL-15 03.50.19.000000000 AM,"wf_ND_MC_P_TY_SPL_TXMY_XRFV8"
"I","015","411","156FX1800X",0,29-JUL-15 03.50.19.000000000 AM,"wf_ND_MC_P_TY_SPL_TXMY_XRFV8",29-JUL-15 03.50.19.000000000 AM,"wf_ND_MC_P_TY_SPL_TXMY_XRFV8"
"I","015","088","152W00000X",0,29-JUL-15 03.50.19.000000000 AM,"wf_ND_MC_P_TY_SPL_TXMY_XRFV8",29-JUL-15 03.50.19.000000000 AM,"wf_ND_MC_P_TY_SPL_TXMY_XRFV8"
